UK,Max Temp,17.2,SEP,2004
UK,Max Temp,13.7,OCT,1996
UK,Max Temp,9.7,NOV,1948
UK,Max Temp,7.7,DEC,1985
UK,Max Temp,7.28,WIN,1920
UK,Max Temp,12.31,SPR,1957
UK,Max Temp,18.99,SUM,2009
UK,Max Temp,13.23,AUT,1938
UK,Max Temp,7.2,JAN,1999
UK,Max Temp,7.8,FEB,1939
UK,Max Temp,9.8,MAR,1953
UK,Max Temp,12.2,APR,1997
UK,Max Temp,15.5,MAY,1970
UK,Max Temp,18.2,JUN,1941
UK,Max Temp,19.9,JUL,1997
UK,Max Temp,19.6,AUG,1949
UK,Max Temp,17.2,SEP,1955
UK,Max Temp,13.7,OCT,1989
UK,Max Temp,9.7,NOV,1917
UK,Max Temp,7.7,DEC,1911
UK,Max Temp,7.27,WIN,2004
UK,Max Temp,12.16,SPR,1912
UK,Max Temp,18.98,SUM,1990
UK,Max Temp,13.20,AUT,2002
UK,Max Temp,7.2,JAN,1928
UK,Max Temp,7.5,FEB,1946
UK,Max Temp,9.6,MAR,2005
UK,Max Temp,12.2,APR,1948
UK,Max Temp,15.4,MAY,2000
UK,Max Temp,18.2,JUN,1921
UK,Max Temp,19.9,JUL,1925
UK,Max Temp,19.6,AUG,1932
UK,Max Temp,17.1,SEP,2000
UK,Max Temp,13.5,OCT,1990
UK,Max Temp,9.6,NOV,1946
UK,Max Temp,7.7,DEC,1910
UK,Max Temp,7.27,WIN,2000
UK,Max Temp,12.15,SPR,2008
UK,Max Temp,18.95,SUM,2016
UK,Max Temp,13.15,AUT,1953
UK,Max Temp,7.1,JAN,2004
UK,Max Temp,7.4,FEB,2004
UK,Max Temp,9.6,MAR,1989
UK,Max Temp,12.2,APR,1926
UK,Max Temp,15.4,MAY,1956
UK,Max Temp,18.0,JUN,1973
UK,Max Temp,19.8,JUL,1975
UK,Max Temp,19.4,AUG,2012
UK,Max Temp,17.1,SEP,1981
UK,Max Temp,13.5,OCT,1954
UK,Max Temp,9.6,NOV,1931
UK,Max Temp,7.6,DEC,1986
UK,Max Temp,7.27,WIN,1921
UK,Max Temp,12.14,SPR,1960
UK,Max Temp,18.95,SUM,2010
UK,Max Temp,13.13,AUT,2013
UK,Max Temp,7.1,JAN,1976
UK,Max Temp,7.4,FEB,1935
UK,Max Temp,9.6,MAR,1959
UK,Max Temp,12.1,APR,1984
UK,Max Temp,15.3,MAY,2009
